timestamp_utc,participant,condition,is_words,trial_index_in_block,target_length,target,response,prop_correct,n_correct,all_or_nothing,pos_correct,item_on_ms,isi_blank_ms,retention_ms,iti_ms,taps
2025-09-24T18:34:46.628204,P001,articulatory_suppression,0,1,10,|K||G||Z||R||W||F||C||J||M||F|,|J||Z||F||T||G||Z||W||U||C||C|,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0,200,200,0
2025-09-24T18:35:41.034464,P001,articulatory_suppression,0,2,10,|X||V||Z||T||B||F||D||K||D||J|,|X||Z||T||D||A||X||U||V||D||E|,0.2,2,0,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1000,0,200,200,0
2025-09-24T18:36:40.471821,P001,articulatory_suppression,0,3,10,|S||L||P||N||J||V||X||F||J||Q|,|S||L||F||P||X||V||Q||S||G||L|,0.3,3,0,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1000,0,200,200,0
2025-09-24T18:37:27.228627,P001,articulatory_suppression,0,4,10,|T||P||R||F||Y||B||D||Y||M||H|,|F||L||S||P||M||Q||S||L||G||Y|,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0,200,200,0
2025-09-24T18:38:15.039959,P001,articulatory_suppression,0,5,10,|S||G||W||G||T||K||T||J||D||N|,|F||G||L||T||G||T||Q||X||D||N|,0.3,3,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",1000,0,200,200,0
2025-09-24T18:39:26.808915,P001,finger_tapping,0,1,10,|W||L||P||F||V||P||J||Z||Q||D|,|D||L||P||F||G||Z||E||J||Q||B|,0.4,4,0,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0]",1000,0,200,200,72
2025-09-24T18:40:50.809869,P001,finger_tapping,0,2,10,|M||C||S||C||K||F||X||H||W||J|,|S||C||K||C||K||F||L||Q||G||Z|,0.4,4,0,"[0, 1, 0, 1, 1, 1, 0, 0, 0, 0]",1000,0,200,200,70
2025-09-24T18:41:52.173593,P001,finger_tapping,0,3,10,|K||M||T||M||B||C||Y||M||X||W|,|M||C||K||T||S||K||T||B||L||Z|,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1000,0,200,200,69
2025-09-24T18:43:06.703211,P001,finger_tapping,0,4,10,|B||P||F||B||J||D||W||B||N||J|,|B||W||S||B||Q||N||M||D||B||J|,0.3,3,0,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1000,0,200,200,67
2025-09-24T18:44:02.543521,P001,finger_tapping,0,5,10,|N||F||X||T||V||Y||L||H||T||N|,|S||T||X||S||T||P||X||W||F||L|,0.1,1,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1000,0,200,200,73
